gbifID	latlon	name	best	species
3297210850	san cristobal	-	san cristobal	Nyctanassa violacea
2087468330	santa cruz	santa cruz	santa cruz	Geospiza magnirostris
3682364969	isabela	isabela	isabela	Anous stolidus
2077848230	espanola	espanola	espanola	Buteo galapagoensis
3855277841	seymour	-	seymour	Amaranthus squamulatus
588171147	santa cruz	santa cruz	santa cruz	Geospiza fortis
2563656718	genovesa	san cristobal	genovesa	Zenaida galapagoensis
2113714311	baltra	seymour	baltra	Leucophaeus fuliginosus
1147198833	-	santa cruz	santa cruz	Geospiza fortis
147097960	santiago	santiago	santiago	Buteo galapagoensis
2804481689	isabela	isabela	isabela	Rattus rattus
1584402337	san cristobal	-	san cristobal	Prionurus laticlavius
1409395104	santa cruz	santa cruz	santa cruz	Camarhynchus pallidus
3265999175	isabela	isabela	isabela	Fregata magnificens
1402554424	espanola	espanola	espanola	Haematopus palliatus
3912396254	isabela	-	isabela	Chelonoidis niger
4111658743	san cristobal	san cristobal	san cristobal	Kalanchoe pinnata
1376410295	genovesa	genovesa	genovesa	Asio flammeus
1287644720	wolf	wolf	wolf	Stegastes beebei
592746166	seymour	seymour	seymour	Pelecanus occidentalis
1791912467	san cristobal	-	san cristobal	Geospiza fortis
583584013	-	genovesa	genovesa	Certhidea fusca
2078820401	genovesa	genovesa	genovesa	Fregata minor
4034945470	santa cruz	santa cruz	santa cruz	Caulerpa racemosa
1319058443	-	-	-	Setophaga petechia
1205634224	santa cruz	santa cruz	santa cruz	Geospiza scandens
3259321270	santa cruz	santa cruz	santa cruz	Crotophaga ani
3659589243	santa cruz	santa cruz	santa cruz	Fregata magnificens
3566079346	isabela	isabela	isabela	Numenius phaeopus
3089706307	-	-	-	Physeter macrocephalus
3385045484	plaza	santa cruz	plaza	Creagrus furcatus
583484127	-	isabela	isabela	Geospiza fortis
2768147962	santa fe	santa fe	santa fe	Calidris alba
3683616788	isabela	-	isabela	Sula nebouxii
3611831216	santa cruz	santa cruz	santa cruz	Crotophaga ani
1351307639	santa cruz	santa cruz	santa cruz	Sula nebouxii
3660066319	espanola	espanola	espanola	Fregata magnificens
3219646578	genovesa	genovesa	genovesa	Geospiza conirostris
1993764943	san cristobal	san cristobal	san cristobal	Sula granti
894765557	espanola	espanola	espanola	Phyllodactylus baurii
657449036	-	daphne	daphne	Microlophus albemarlensis
2040456368	santa cruz	santa cruz	santa cruz	Geospiza fortis
1198933679	santa cruz	santa cruz	santa cruz	Coccyzus melacoryphus
4028741085	santa cruz	santa cruz	santa cruz	Opuntia galapageia
3399415557	san cristobal	-	san cristobal	Zalophus wollebaeki
3200472346	isabela	isabela	isabela	Mimus parvulus
3263200400	bartolome	bartolome	bartolome	Anarhynchus wilsonia
668290134	-	espanola	espanola	Geospiza conirostris
1410093007	isabela	isabela	isabela	Spheniscus mendiculus
1402135338	genovesa	genovesa	genovesa	Creagrus furcatus
3612942276	isabela	isabela	isabela	Pyrocephalus rubinus
2790568149	seymour	seymour	seymour	Butorides striata
1382877595	isabela	isabela	isabela	Mimus parvulus
583483976	-	floreana	floreana	Geospiza fortis
3903322476	floreana	-	floreana	Chelonia mydas
2765233594	san cristobal	san cristobal	san cristobal	Ardea herodias
